gene_stable_id,gene_name
ENSG00000003402,CFLAR
ENSG00000120549,KIAA1217
ENSG00000163956,LRPAP1
ENSG00000166949,SMAD3
ENSG00000179152,TCAIM
ENSG00000164342,TLR3
ENSG00000042445,RETSAT
ENSG00000152229,PSTPIP2
ENSG00000168610,STAT3
ENSG00000244509,APOBEC3C
ENSG00000142627,EPHA2
ENSG00000173530,TNFRSF10D
ENSG00000169118,CSNK1G1
ENSG00000086544,ITPKC
ENSG00000170471,RALGAPB
ENSG00000075568,TMEM131
ENSG00000172409,CLP1
ENSG00000140545,MFGE8
ENSG00000104228,TRIM35
ENSG00000124198,ARFGEF2
ENSG00000134504,KCTD1
ENSG00000162520,SYNC
ENSG00000173535,TNFRSF10C
ENSG00000119669,IRF2BPL
ENSG00000012171,SEMA3B
ENSG00000125124,BBS2
ENSG00000117153,KLHL12
ENSG00000180900,SCRIB
ENSG00000138829,FBN2
ENSG00000197622,CDC42SE1
ENSG00000185055,EFCAB10
ENSG00000174791,RIN1
ENSG00000101019,UQCC1
ENSG00000105939,ZC3HAV1
ENSG00000102935,ZNF423
ENSG00000186174,BCL9L
ENSG00000113300,CNOT6
ENSG00000160917,CPSF4
ENSG00000137331,IER3
ENSG00000166783,KIAA0430
ENSG00000113441,LNPEP
ENSG00000028277,POU2F2
ENSG00000138069,RAB1A
ENSG00000180008,SOCS4
ENSG00000145779,TNFAIP8
ENSG00000169105,CHST14
ENSG00000087460,GNAS
ENSG00000136144,RCBTB1
ENSG00000168769,TET2
ENSG00000065357,DGKA
ENSG00000196975,ANXA4
ENSG00000162643,WDR63
ENSG00000088836,SLC4A11
ENSG00000143344,RGL1
ENSG00000137216,TMEM63B
ENSG00000162772,ATF3
ENSG00000148925,BTBD10
ENSG00000100916,BRMS1L
ENSG00000130244,FAM98C
ENSG00000054392,HHAT
ENSG00000085117,CD82
ENSG00000135002,RFK
ENSG00000137393,RNF144B
ENSG00000082438,COBLL1
ENSG00000174775,HRAS
ENSG00000075407,ZNF37A
ENSG00000185070,FLRT2
ENSG00000162783,IER5
ENSG00000110031,LPXN
ENSG00000165406,MARCH8
ENSG00000154719,MRPL39
ENSG00000135655,USP15
ENSG00000084693,AGBL5
ENSG00000134107,BHLHE40
ENSG00000034713,GABARAPL2
ENSG00000100983,GSS
ENSG00000186834,HEXIM1
ENSG00000277586,NEFL
ENSG00000119938,PPP1R3C
ENSG00000170421,KRT8
ENSG00000136531,SCN2A
ENSG00000173334,TRIB1
ENSG00000132467,UTP3
ENSG00000038427,VCAN
ENSG00000150394,CDH8
ENSG00000198734,F5
ENSG00000137478,FCHSD2
ENSG00000198788,MUC2
ENSG00000160194,NDUFV3
ENSG00000141510,TP53
ENSG00000137693,YAP1
ENSG00000055163,CYFIP2
ENSG00000135823,STX6
ENSG00000166619,BLCAP
ENSG00000125746,EML2
ENSG00000163050,ADCK3
ENSG00000090776,EFNB1
ENSG00000061987,MON2
ENSG00000133639,BTG1
ENSG00000151131,C12ORF45
ENSG00000178184,PARD6G
ENSG00000142765,SYTL1
ENSG00000161642,ZNF385A
ENSG00000137975,CLCA2
ENSG00000171346,KRT15
ENSG00000171552,BCL2L1
ENSG00000137094,DNAJB5
ENSG00000100139,MICALL1
ENSG00000140464,PML
ENSG00000166592,RRAD
ENSG00000007866,TEAD3
ENSG00000167716,WDR81
ENSG00000176401,EID2B
ENSG00000168672,FAM84B
ENSG00000179023,KLHDC7A
ENSG00000143333,RGS16
ENSG00000142867,BCL10
ENSG00000184678,HIST2H2BE
ENSG00000144959,NCEH1
ENSG00000090020,SLC9A1
ENSG00000160606,TLCD1
ENSG00000127914,AKAP9
ENSG00000113916,BCL6
ENSG00000160223,ICOSLG
ENSG00000105655,ISYNA1
ENSG00000005884,ITGA3
ENSG00000050405,LIMA1
ENSG00000205302,SNX2
ENSG00000249709,ZNF564
ENSG00000148671,ADIRF
ENSG00000189058,APOD
ENSG00000196208,GREB1
ENSG00000204406,MBD5
ENSG00000124006,OBSL1
ENSG00000108187,PBLD
ENSG00000163882,POLR2H
ENSG00000110841,PPFIBP1
ENSG00000105287,PRKD2
ENSG00000113658,SMAD5
ENSG00000165832,TRUB1
ENSG00000265972,TXNIP
ENSG00000131979,GCH1
ENSG00000114315,HES1
ENSG00000126460,PRRG2
ENSG00000144040,SFXN5
ENSG00000076351,SLC46A1
ENSG00000119760,SUPT7L
ENSG00000135185,TMEM243
